Question,Answer
Which college is best for AI engineering in Bangalore?,"REVA University is widely recognized for its cutting-edge B.Tech program in Artificial Intelligence and Machine Learning. The curriculum is designed with a strong focus on data science, deep learning, and real-world applications, supported by hands-on training, research opportunities, and industry collaborations."
Which college is best for Artificial Intelligence engineering?,"If you're looking to build a strong foundation in Artificial Intelligence, REVA University offers one of the most comprehensive programs in Bangalore. With a future-ready syllabus and expert faculty, the university prepares students to thrive in AI-driven industries."
Which institute is best for AI and ML?,"REVA University stands out as a leading institute for AI and Machine Learning education. The program blends theoretical concepts with practical exposure through projects, internships, and tech events, helping students become job-ready for roles in AI, data science, and automation."
Which college is good for law in Bangalore?,"REVA University’s School of Legal Studies is considered one of the promising law schools in Bangalore. It offers programs like BA LLB, BBA LLB, and LLB with a strong emphasis on legal research, moot courts, internships, and a robust academic environment."
Can I do LLB with 40% marks?,"Admission to the LLB program generally requires a minimum of 45% marks in graduation for General Category candidates (as per Bar Council of India norms). If you belong to a reserved category, relaxation in eligibility criteria may apply. It's best to check with the university admissions office for specific details."
Who are eligible for LLB?,"To pursue a 3-year LLB program at REVA University, candidates must have completed a bachelor's degree in any discipline from a recognized university with a minimum aggregate of 45% (General), 42% (OBC), or 40% (SC/ST)."
Can I do BBA and LLB together?,"Yes, REVA University offers an integrated BBA LLB (Hons.) program that combines business administration and law into a five-year course. It’s an excellent choice for students interested in corporate law, entrepreneurship, or legal consultancy."
Is BBA LLB a good degree?,"Absolutely. BBA LLB is a strong interdisciplinary degree that opens doors to diverse career paths in corporate law, business, litigation, and government services. At REVA University, the program is designed to equip students with legal knowledge and managerial skills through a balanced academic approach."
Is CLAT compulsory for BBA LLB?,"CLAT is not mandatory for admission to BBA LLB at REVA University. Admissions are typically based on merit and performance in the university’s entrance process. However, appearing for CLAT or other law entrance exams may enhance your application profile."
Which college is best for placement in engineering in Bangalore?,"REVA University is among the best for engineering placements in Bangalore. With a dedicated Career Development Cell and strong industry tie-ups, REVA consistently helps students secure roles in leading companies like Infosys, TCS, Accenture, and Deloitte across various engineering disciplines."
Which college has 100% placement in Bangalore?,"REVA University has achieved close to 100% placement in several engineering streams, particularly in Computer Science and Information Technology. The university’s focus on hands-on learning, real-world projects, and soft skill training prepares students thoroughly for the job market."
Who is the Chancellor of REVA University?,Dr. P. Shyama Raju is the founder and Chancellor of REVA University.
What are the recognitions and approvals that REVA University has?,The details are as below:The University is approved and recognised by University Grants Commission (UGC)Our Engineering and Management programmes are approved by AICTEOur Law Programmes are approved by BCIOur Architecture programmes are approved by COA
Which companies regularly visit for placement at REVA University?,"REVA University has 450+ recruiting partners namely Centum, DivyaSree Developers, KPIT, L&T InfoTech, IBM, TCS, Timken, General Motors and Amazon are the few that visit REVA for placements regularly. To see the complete list please visithttps://www.reva.edu.in/placement"
Is the campus Wifi enabled?,"Yes, the campus is Wifi enabled."
Are medical services available on campus?,"Yes, REVA University has a Healthcare Centre on campus with 24/7 facilities to take care of students’ health. The University also has an ambulance to meet emergency needs and a tie-up with nearby hospitals."
What are the extracurricular activities organised for students?,There are various extracurricular activities for students on campus.SportsEventsFest - REVOTHSAVAInter-University competitionsClub-related Activities (Club list:https://www.reva.edu.in/clubs-and-societies)REVA ExpoNCC & NSS
Does REVA University offer any add-on Certificate programmes?,"Yes, we do offer Certificate Programmes as per industry requirements."
What measures have REVA University taken up to ensure safety on campus?,CCTVs in campusCOVID-19 preventive measures and alignment with Govt protocol taken care ofFumigation of campus doneBoth men and women security guards in campusWomen security guards and women wardens for girl students in hostelsBuses are safeSanitisation done periodicallyNo history of any kind of unrest in the campus for the last decade
How is the education system at REVA University?,"The curriculum of each programme is designed with a keen eye for detail by emphasising hands-on training, industry relevance, social significance, and practical applications. The University offers world-class facilities and education that meet global standards. We believe in preparing students through the Choice Based Credit System (CBCS) and Continuous Assessment and Grading Pattern (CAGP) of education."
REVA is a big University. Will the students get one-on-one attention for their requirements?,"The academic outcome and overall development of the students are given the utmost importance at REVA University. Mentoring programme is designed to initiate a close bonding between the lecturers and students. The mentor will provide necessary inputs to the mentee on work ethics, study habits, time management skills, employability skills, and other essential professional requirements. Thus, REVA University ensures 360-degree student care for every other student in the University."
How future-ready is REVA University?,"REVA University follows a blended teaching methodology in which lectures, group discussions, seminars, and digital tools are used. It has timely evolved to the current requisite in industry and the education system. It has enabled Lecture Capturing System (LCS) in the classrooms, Learning Management System – A module for class notes and submitting assignments. Tab-based examinations are used to encourage students to follow the paperless policy."
How does REVA train its students for placements?,"Core technical, aptitude, coding, reasoning skills, and verbal abilityCompany-specific training by the industry veteransMock aptitude tests and interviewsCV building and strengthening corporate linksIntensive Soft Skills and Personality Development TrainingOffering the tools to make students respond effectively."
What are the Undergraduate/Postgraduate Degree programmes offered at REVA University?,https://www.reva.edu.in/course-list/undergraduate-programmeshttps://www.reva.edu.in/course-list/postgraduate-programmes
How are placements at REVA University?,https://www.reva.edu.in/placement
Do you have a non-semester or semester pattern for your programmes?,Exams are conducted only by semester pattern. UGC has asked all the HEIs to adopt only the semester pattern.
What are the campus placement criteria of the University?,"REVA assures 100% placement assistance. To be eligible for the recruitment process, every student is required to achieve a minimum 6 CGPA on a 10-point scale."
Cost of Online Application?,"Engineering, Architecture, Law - INR. 1000Other UG Programmes - INR. 500PG Programmes INR. - 1000"
What is the CET code of REVA University KEA?,The details are as below:TECH – KCET CODE: E232M TECH (FT) – PGCET CODE – T946M TECH (PT) – PGCET CODE – T604MBA – PGCET CODE – B260MCA – PGCET CODE – C466
Can I apply for more than one programme?,"Yes, you can apply for more than one programme at REVA University."
Is the REVA University degree valid if I want to pursue higher studies abroad?,Yes. REVA University degree is valid if you want to pursue higher studies abroad.
Do we have University transport services?,"Yes, transport is available at REVA University."
Do you offer a sports quota?,"Yes, we offer sports quota. However, it depends on the eligibility criteria specified by the University. Explore scholarship for more details."
Do you have any online examinations?,"YES, we conduct our REVA CET Exam online."
Can I speak to an admissions counsellor?,"Yes. If you have any questions about the admissions process or application requirements, or just want to speak to an admissions counsellor to know more about REVA University, you may call 90211 90211/08046966966."
What If I haven’t received it within 30 working days?,"You will be receiving it within 30 working days. It depends on the source through which the transaction was made. If not, you can connect withadmissions@reva.edu.in"
How can I get the admit card?,"After the slot booking, you will be able to download the admit card."
What is slot booking in REVA?,"REVA University starts the online REVA CET Slot Booking at REVA’s Online Test Booking System. The candidates have to use their REVA CET 2023 application number and password to enter the REVA OTBS. The slot booking is done on a first come first served basis. After the REVA CET 2023 slot booking, the candidates can check their admit card which is generated 3 days prior to the examination date. The candidates have to download the same and complete the process."
Where will I find all relevant information pertaining to admissions?,"For admission procedure details, please check the below link.https://www.reva.edu.in/admission-overview"
How does the admission process take place?,"The candidate can visit the REVA University website. Click Admissions and then click Apply online or visithttps://www.reva.edu.in/new-admissions/and click Apply Now for the selected programme. You will be guided through the application process and after providing the basic information you can click “Pay Application Fee” and upload the required documents. If you are eligible, you will get an official communication from the REVA University admission team and then tuition can be paid."
What is the refund policy?,"For cancellation and refund (if any), write an email to “refund@reva.edu.in”. Refund rules are governed by the UGC Notifications of October 2018."
Can a student apply for UG/PG programme in absence of 10+12/ final year result of graduation?,"Yes, a student may apply provisionally for any programme but needs to produce all the original Marksheets/ Degrees at the time of joining the programme. However, for the applicant of the PG Programme,31st October(of the current academic year) is the last date to submit the original mark sheets/degrees.Your verification will remain incomplete in case you fail to submit the required documents. In the absence of verification, you will not be able to appear for the end semester examination."
Who are foreign students?,Students holding passport issued by foreign countries including people of Indian origin who have acquired the nationality of foreign countries.
